date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:46	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:45%20GMT	https://bendarby.co.uk/work/hae	D:/NEW/ew4few/bendarby.co.uk/work/hae	(from https://bendarby.co.uk/work/)
14:32:46	10837/10837	---M-Z	200	added ('OK')	text/html	etag:%222282340-2a55-5aa09959bda40-gzip%22	https://bendarby.co.uk/work/bluehealth/	D:/NEW/ew4few/bendarby.co.uk/work/bluehealth/index.html	(from https://bendarby.co.uk/work/)
14:32:46	10725/10725	---M-Z	200	added ('OK')	text/html	etag:%222282350-29e5-5aa09959bda40-gzip%22	https://bendarby.co.uk/work/hae/	D:/NEW/ew4few/bendarby.co.uk/work/hae/index.html	(from https://bendarby.co.uk/work/)
14:32:46	176651/176651	---M--	200	added ('OK')	image/jpeg	etag:%222282393-2b20b-5a00470a92580%22	https://bendarby.co.uk/assets/img/bluehealth-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/bluehealth-work.jpg	(from https://bendarby.co.uk/work/)
14:32:46	100548/100548	---M--	200	added ('OK')	image/svg+xml	etag:%222282362-188c4-5a00470a92580%22	https://bendarby.co.uk/assets/img/apriori-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/apriori-logo.svg	(from https://bendarby.co.uk/work/)
14:32:47	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:46%20GMT	https://bendarby.co.uk/work/secrethub	D:/NEW/ew4few/bendarby.co.uk/work/secrethub	(from https://bendarby.co.uk/work/)
14:32:47	12227/12227	---M-Z	200	added ('OK')	text/html	etag:%222282351-2fc3-5b957e98a46c0-gzip%22	https://bendarby.co.uk/work/secrethub/	D:/NEW/ew4few/bendarby.co.uk/work/secrethub/index.html	(from https://bendarby.co.uk/work/)
14:32:48	1219/1219	---M--	200	added ('OK')	image/svg+xml	etag:%2222823c0-4c3-5b93398962280%22	https://bendarby.co.uk/assets/img/secrethub-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/secrethub-logo.svg	(from https://bendarby.co.uk/work/)
14:32:49	193862/193862	---M--	200	added ('OK')	image/jpeg	etag:%2222823bb-2f546-5a00470c7aa00%22	https://bendarby.co.uk/assets/img/hae-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/hae-work.jpg	(from https://bendarby.co.uk/work/)
14:32:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202023%2009:02:48%20GMT	https://bendarby.co.uk/work/js/vendor/jquery-2.1.4.min.js	D:/NEW/ew4few/bendarby.co.uk/work/js/vendor/jquery-2.1.4.min.js	(from https://bendarby.co.uk/work/)
14:32:49	44578/44578	---M--	200	added ('OK')	image/jpeg	etag:%2222823c9-ae22-5b93398962280%22	https://bendarby.co.uk/assets/img/secrethub-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/secrethub-work.jpg	(from https://bendarby.co.uk/work/)
14:32:50	353532/353532	---M--	200	added ('OK')	image/jpeg	etag:%22228239c-564fc-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-main.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-main.jpg	(from https://bendarby.co.uk/work/development-initiatives/)
14:32:54	235481/235481	---M--	200	added ('OK')	image/jpeg	etag:%22228239d-397d9-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-mobile-2.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-mobile-2.jpg	(from https://bendarby.co.uk/work/development-initiatives/)
14:32:54	382561/382561	---M--	200	added ('OK')	image/jpeg	etag:%22228239e-5d661-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-mobile.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-mobile.jpg	(from https://bendarby.co.uk/work/development-initiatives/)
14:32:54	666394/666394	---M--	200	added ('OK')	image/jpeg	etag:%2222823a0-a2b1a-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-preview.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-preview.jpg	(from https://bendarby.co.uk/work/development-initiatives/)
14:32:54	851047/851047	---M--	200	added ('OK')	image/jpeg	etag:%22228239f-cfc67-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-preview-alt.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-preview-alt.jpg	(from https://bendarby.co.uk/work/development-initiatives/)
14:32:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202023%2009:02:53%20GMT	https://bendarby.co.uk/work/development-initiatives/js/vendor/jquery-2.1.4.min.js	D:/NEW/ew4few/bendarby.co.uk/work/development-initiatives/js/vendor/jquery-2.1.4.min.js	(from https://bendarby.co.uk/work/development-initiatives/)
